Montag, 27.August 2018	99.0		20180827
Dienstag, 28.August 2018	99.6		20180828
Mittwoch, 29.August 2018	100.0		20180829
Donnerstag, 30.August 2018	100.5		20180830
Samstag, 01.September 2018	99.4		20180901
Sonntag, 02.September 2018	99.4		20180902
Montag, 03.September 2018	99.4		20180903
Dienstag, 04.September 2018	99.4		20180904
Mittwoch, 05.September 2018	99.4		20180905
Donnerstag, 06.September 2018	99.4		20180906
Freitag, 07.September 2018	99.4		20180907
Samstag, 08.September 2018	99.4		20180908
Sonntag, 09.September 2018	99.4		20180909
Montag, 10.September 2018	99.4		20180910
Dienstag, 11.September 2018	99.4		20180911
Mittwoch, 12.September 2018	99.4		20180912
Donnerstag, 13.September 2018	99.4		20180913
Freitag, 14.September 2018	97.9		20180914
Samstag, 15.September 2018	98.5		20180915
Sonntag, 16.September 2018	98.9		20180916
Montag, 17.September 2018	99.5		20180917
Dienstag, 18.September 2018	100.1		20180918
Mittwoch, 19.September 2018	100.5		20180919
Donnerstag, 20.September 2018	100.7		20180920
Freitag, 21.September 2018	100.1		20180921
Samstag, 22.September 2018	99.9		20180922
Sonntag, 23.September 2018	100.0		20180923
Montag, 24.September 2018	100.0		20180924
Dienstag, 25.September 2018	100.0		20180925
Mittwoch, 26.September 2018	100.0		20180926
Donnerstag, 27.September 2018	100.0		20180927
Freitag, 28.September 2018	100.0		20180928
Samstag, 29.September 2018	98.9		20180929
Sonntag, 30.September 2018	99.9		20180930
Montag, 01.Oktober 2018	99.9		20181001
Dienstag, 02.Oktober 2018	99.8		20181002
Mittwoch, 03.Oktober 2018	100.5		20181003
Donnerstag, 04.Oktober 2018	99.1		20181004
Freitag, 05.Oktober 2018	100.1		20181005
Samstag, 06.Oktober 2018	100.1		20181006
Sonntag, 07.Oktober 2018	100.9		20181007
Montag, 08.Oktober 2018	100.2		20181008
Dienstag, 09.Oktober 2018	100.2		20181009
Mittwoch, 10.Oktober 2018	100.1		20181010
Donnerstag, 11.Oktober 2018	100.9		20181011
Freitag, 12.Oktober 2018	100.9		20181012
Samstag, 13.Oktober 2018	100.9		20181013
Sonntag, 14.Oktober 2018	100.5		20181014
Montag, 15.Oktober 2018	100.8		20181015
Dienstag, 16.Oktober 2018	100.4		20181016
Mittwoch, 17.Oktober 2018	100.4		20181017
Donnerstag, 18.Oktober 2018	100.1		20181018
Samstag, 20.Oktober 2018	99.8		20181020
Freitag, 19.Oktober 2018	100.1		20181019
Sonntag, 21.Oktober 2018	100.1		20181021
Montag, 22.Oktober 2018	100.2		20181022
Dienstag, 23.Oktober 2018	100.9		20181023
Mittwoch, 24.Oktober 2018	99.9		20181024
Donnerstag, 25.Oktober 2018	99.3		20181025
Freitag, 26.Oktober 2018	100.1		20181026
Samstag, 27.Oktober 2018	99.8		20181027
Sonntag, 28.Oktober 2018	100.1		20181028
Montag, 29.Oktober 2018	100.0		20181029
Dienstag, 30.Oktober 2018	99.5		20181030
Mittwoch, 31.Oktober 2018	100.2		20181031
Donnerstag, 01.November 2018	99.9		20181101
Freitag, 02.November 2018	100.2		20181102
Samstag, 03.November 2018	100.4		20181103
Sonntag, 04.November 2018	99.7		20181104
Montag, 05.November 2018	99.7		20181105
Dienstag, 06.November 2018	99.7		20181106
Mittwoch, 07.November 2018	99.7		20181107
Donnerstag, 08.November 2018	100.6		20181108
Freitag, 09.November 2018	99.7		20181109
Samstag, 10.November 2018	99.9		20181110
Sonntag, 11.November 2018	98.6		20181111
Montag, 12.November 2018	98.7		20181112
Dienstag, 13.November 2018	98.3		20181113
Mittwoch, 14.November 2018	98.5		20181114
Donnerstag, 15.November 2018	98.7		20181115
Freitag, 16.November 2018	98.4		20181116
Samstag, 17.November 2018	98.4		20181117
Sonntag, 18.November 2018	98.0		20181118
Montag, 19.November 2018	99.5		20181119
Dienstag, 20.November 2018	99.7		20181120
Mittwoch, 21.November 2018	99.9		20181121
Donnerstag, 22.November 2018	99.2		20181122
Freitag, 23.November 2018	99.4		20181123
Samstag, 24.November 2018	98.3		20181124
Sonntag, 25.November 2018	98.3		20181125
Montag, 26.November 2018	98.7		20181126
Dienstag, 27.November 2018	97.9		20181127
Mittwoch, 28.November 2018	97.7		20181128
Donnerstag, 29.November 2018	97.9		20181129
Freitag, 30.November 2018	98.3		20181130
Samstag, 01.Dezember 2018	98.1		20181201
Sonntag, 02.Dezember 2018	98.5		20181202
Montag, 03.Dezember 2018	99.5		20181203
Dienstag, 04.Dezember 2018	99.2		20181204
Mittwoch, 05.Dezember 2018	98.9		20181205
Donnerstag, 06.Dezember 2018	98.3		20181206
Freitag, 07.Dezember 2018	98.1		20181207
Samstag, 08.Dezember 2018	97.7		20181208
Sonntag, 09.Dezember 2018	98.8		20181209
Montag, 10.Dezember 2018	98.0		20181210
Dienstag, 11.Dezember 2018	98.6		20181211
Mittwoch, 12.Dezember 2018	98.3		20181212
Donnerstag, 13.Dezember 2018	97.9		20181213
Freitag, 14.Dezember 2018	97.9		20181214
Samstag, 15.Dezember 2018	97.7		20181215
Sonntag, 16.Dezember 2018	98.1		20181216
Montag, 17.Dezember 2018	98.1		20181217
Dienstag, 18.Dezember 2018	99.1		20181218
Mittwoch, 19.Dezember 2018	97.5		20181219
Donnerstag, 20.Dezember 2018	98.1		20181220
Freitag, 21.Dezember 2018	97.5		20181221
Samstag, 22.Dezember 2018	97.2		20181222
